,mssubclass,mszoning,lotshape,lotconfig,neighborhood,condition1,bldgtype,housestyle,overallqual,overallcond,roofstyle,exterior1st,exterior2nd,masvnrtype,masvnrarea,extercond,foundation,bsmtqual,bsmtexposure,bsmtfintype1,totalbsmtsf,heatingqc,1stflrsf,grlivarea,bsmtfullbath,fullbath,halfbath,bedroomabvgr,totrmsabvgrd,fireplaces,garagetype,garagefinish,garagearea,saletype,saleprice,houseage,renoage,outdoorfeature
0,60,RL,IR1,CulDSac,Sawyer,RRAe,1Fam,2Story,6,8,Gable,HdBoard,Plywood,BrkFace,289.0,3,CBlock,3,1,6,725.0,5,725,1479,0.0,2,1,3,6,0,Attchd,2,475.0,WD ,130500,34.25,5.25,1.0
1,60,RL,IR1,CulDSac,SawyerW,Norm,1Fam,2Story,7,5,Gable,VinylSd,VinylSd,BrkFace,132.0,3,PConc,4,1,6,913.0,5,913,2122,1.0,2,1,4,8,1,Attchd,2,559.0,WD ,220000,13.333333333333258,12.333333333333258,1.0
2,20,RL,Reg,Inside,NAmes,Norm,1Fam,1Story,5,7,Gable,VinylSd,VinylSd,None,0.0,4,CBlock,3,1,6,1057.0,3,1057,1057,1.0,1,0,3,5,0,Detchd,1,246.0,WD ,109000,57.08333333333326,3.0833333333332575,1.0
3,60,RL,Reg,Inside,Timber,Norm,1Fam,2Story,5,5,Gable,VinylSd,VinylSd,None,0.0,3,PConc,4,1,1,384.0,4,744,1444,0.0,2,1,3,7,0,BuiltIn,3,400.0,WD ,174000,4.3333333333332575,3.3333333333332575,1.0
4,50,RL,IR1,Inside,SawyerW,Norm,1Fam,1.5Fin,6,8,Gable,Wd Sdng,Plywood,None,0.0,3,PConc,2,1,1,676.0,3,831,1445,0.0,2,0,3,6,0,Detchd,1,484.0,WD ,138500,110.25,17.25,1.0
5,20,RL,IR1,Corner,NAmes,PosA,1Fam,1Story,6,6,Gable,BrkFace,Plywood,None,0.0,3,CBlock,3,1,5,1517.0,5,1888,1888,0.0,2,1,2,6,1,Attchd,3,578.0,WD ,190000,44.5,8.5,0.0
6,180,RM,Reg,Inside,Edwards,Norm,TwnhsE,SFoyer,6,5,Gable,VinylSd,VinylSd,BrkFace,82.0,3,PConc,4,4,6,547.0,4,1072,1072,1.0,2,0,2,5,0,Basment,3,525.0,New,140000,1.5,0.5,1.0
7,20,RL,IR1,Inside,NAmes,Norm,1Fam,1Story,5,5,Hip,Plywood,Plywood,BrkFace,180.0,3,CBlock,3,1,3,1188.0,2,1188,1188,1.0,1,0,3,6,0,Attchd,2,531.0,COD,142000,51.41666666666674,51.41666666666674,0.0
8,20,RL,Reg,Inside,OldTown,Artery,1Fam,1Story,5,5,Gable,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,1,3,924.0,3,924,924,0.0,1,0,2,6,0,Detchd,1,420.0,WD ,112500,55.5,55.5,1.0
9,60,RL,IR1,Inside,NAmes,Norm,1Fam,2Story,5,5,Gable,Plywood,Plywood,BrkFace,192.0,3,PConc,4,3,3,1040.0,3,1040,2080,0.0,1,2,5,9,2,Attchd,1,504.0,WD ,135000,38.75,38.75,1.0
10,160,RM,Reg,Inside,BrDale,Norm,Twnhs,2Story,6,5,Gable,HdBoard,HdBoard,BrkFace,232.0,3,CBlock,3,1,5,483.0,3,483,987,0.0,1,1,2,4,0,Detchd,1,264.0,COD,85400,37.58333333333326,37.58333333333326,0.0
11,20,RL,IR1,Inside,CollgCr,Norm,1Fam,1Story,7,5,Gable,VinylSd,VinylSd,None,0.0,3,PConc,4,3,6,1208.0,5,1208,1208,0.0,2,0,2,6,0,Attchd,2,632.0,WD ,183600,1.1666666666667425,1.1666666666667425,1.0
12,70,RL,Reg,FR2,SawyerW,Feedr,1Fam,2Story,5,7,Gable,HdBoard,HdBoard,None,0.0,3,PConc,0,0,0,0.0,5,1288,2016,0.0,1,0,4,7,1,Attchd,1,576.0,WD ,131000,129.5,2.5,0.0
13,160,FV,Reg,Inside,Somerst,Norm,Twnhs,2Story,8,5,Gable,MetalSd,MetalSd,BrkFace,456.0,3,PConc,4,1,6,960.0,5,962,1607,1.0,2,1,3,7,0,Detchd,1,480.0,ConLD,200000,10.0,9.0,1.0
14,20,RL,Reg,Inside,CollgCr,Norm,1Fam,1Story,7,5,Gable,VinylSd,VinylSd,None,0.0,3,PConc,4,3,6,1351.0,5,1361,1361,0.0,2,0,3,6,0,Attchd,2,610.0,WD ,193000,1.5,1.5,1.0
15,20,RL,Reg,Inside,Mitchel,Norm,1Fam,1Story,5,5,Gable,VinylSd,VinylSd,None,0.0,3,PConc,5,3,1,1430.0,5,1430,1430,0.0,2,0,3,7,0,Attchd,2,624.0,WD ,173500,6.25,5.25,0.0
16,70,RM,Reg,Inside,OldTown,Norm,1Fam,2Story,5,5,Gable,AsbShng,AsbShng,None,0.0,3,BrkTil,3,1,1,624.0,2,624,1344,0.0,1,0,4,7,0,Detchd,1,513.0,COD,98000,92.41666666666674,58.41666666666674,1.0
17,20,RL,Reg,Corner,Sawyer,Feedr,1Fam,1Story,5,6,Gable,VinylSd,VinylSd,None,0.0,3,PConc,3,1,3,1121.0,3,1121,1121,1.0,1,0,3,5,0,Detchd,1,480.0,WD ,139000,46.5,46.5,1.0
18,20,RL,Reg,Inside,Sawyer,Norm,1Fam,1Story,6,5,Gable,Plywood,Plywood,BrkFace,148.0,3,CBlock,3,1,1,660.0,5,1285,1285,0.0,1,1,3,7,1,Attchd,2,528.0,WD ,143500,30.333333333333258,30.333333333333258,1.0
19,60,FV,Reg,Inside,Somerst,Norm,1Fam,2Story,7,5,Gable,VinylSd,VinylSd,None,0.0,3,PConc,4,2,6,756.0,5,764,1547,0.0,2,1,3,7,0,Attchd,1,614.0,Con,215200,1.5,1.5,1.0
20,20,RL,Reg,Inside,Sawyer,Norm,1Fam,1Story,5,5,Gable,VinylSd,VinylSd,None,0.0,3,CBlock,4,1,4,894.0,4,894,894,0.0,1,0,3,5,1,Attchd,3,450.0,WD ,129000,39.41666666666674,39.41666666666674,0.0
21,120,RL,IR1,Inside,StoneBr,Norm,TwnhsE,1Story,8,5,Gable,CemntBd,CmentBd,None,0.0,3,PConc,4,1,6,1501.0,5,1659,1659,1.0,2,0,2,5,1,Attchd,3,499.0,WD ,278000,9.833333333333258,9.833333333333258,1.0
22,60,RL,IR1,Corner,NridgHt,Norm,1Fam,2Story,8,5,Gable,CemntBd,CmentBd,0,0.0,3,PConc,5,3,1,1209.0,5,1209,2253,0.0,2,1,3,8,1,Attchd,3,575.0,New,344133,1.5833333333332575,0.5833333333332575,1.0
23,20,RL,IR1,Inside,Gilbert,Norm,1Fam,1Story,6,7,Gable,HdBoard,HdBoard,None,0.0,4,PConc,4,1,5,1168.0,5,1187,1187,1.0,2,0,3,6,0,Attchd,3,420.0,WD ,185000,18.25,3.25,1.0
24,190,RL,Reg,Inside,Gilbert,Norm,2fmCon,1Story,5,5,Hip,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,2,3,1056.0,3,1056,1056,1.0,1,0,3,5,0,Attchd,3,572.0,WD ,145000,51.08333333333326,51.08333333333326,1.0
25,20,RL,IR1,Corner,NAmes,Norm,1Fam,1Story,6,6,Hip,MetalSd,MetalSd,BrkFace,3.0,3,CBlock,3,1,3,1453.0,5,1453,1453,1.0,2,0,3,6,1,Attchd,2,530.0,WD ,187500,48.33333333333326,48.33333333333326,1.0
26,20,RL,Reg,Inside,Sawyer,RRAe,1Fam,1Story,5,8,Gable,MetalSd,MetalSd,None,0.0,4,CBlock,3,1,6,894.0,5,894,894,1.0,1,0,3,5,1,Detchd,1,336.0,WD ,138500,45.33333333333326,1.3333333333332575,1.0
27,50,RL,IR1,Inside,Crawfor,Norm,1Fam,1.5Fin,5,6,Gable,WdShing,Wd Shng,None,0.0,3,CBlock,3,1,4,942.0,5,1265,1938,0.0,2,0,4,7,1,Detchd,1,240.0,WD ,198000,71.58333333333326,13.583333333333258,1.0
28,190,C (all),Reg,Inside,IDOTRR,Feedr,2fmCon,2Story,5,6,Gable,VinylSd,VinylSd,None,0.0,4,CBlock,3,1,1,957.0,2,1034,1991,0.0,2,0,4,9,0,0,0,0.0,WD ,119600,112.5,1.5,1.0
29,50,RL,Reg,Corner,NAmes,Artery,1Fam,1.5Fin,5,7,Gable,MetalSd,MetalSd,None,0.0,4,CBlock,3,2,1,672.0,5,672,924,0.0,1,0,3,6,1,Detchd,1,576.0,WD ,122900,58.58333333333326,1.5833333333332575,0.0
30,20,RL,Reg,Inside,NWAmes,PosN,1Fam,1Story,8,5,Hip,BrkFace,BrkFace,None,0.0,3,PConc,4,1,5,2524.0,3,2524,2524,1.0,2,1,4,9,1,Attchd,3,542.0,WD ,278000,28.583333333333258,28.583333333333258,1.0
31,70,RL,IR1,Corner,Crawfor,Norm,1Fam,2Story,8,7,Gable,BrkFace,Stucco,None,0.0,3,PConc,4,1,1,792.0,2,792,1517,0.0,1,0,3,7,2,Detchd,1,400.0,WD ,230000,77.5,56.5,0.0
32,120,RL,IR1,CulDSac,Veenker,Norm,TwnhsE,1Story,8,5,Hip,BrkFace,BrkFace,None,0.0,4,PConc,4,3,2,1494.0,5,1494,1494,1.0,1,1,2,6,1,Attchd,3,481.0,WD ,270000,11.333333333333258,10.333333333333258,1.0
33,20,RL,Reg,Inside,NAmes,Norm,1Fam,1Story,6,6,Hip,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,1,5,948.0,3,948,948,0.0,1,0,2,5,0,Detchd,1,410.0,WD ,125000,55.33333333333326,55.33333333333326,1.0
34,20,RL,Reg,Inside,CollgCr,Norm,1Fam,1Story,8,5,Hip,VinylSd,VinylSd,Stone,336.0,3,PConc,5,4,6,1705.0,5,1718,1718,1.0,2,0,3,7,1,Attchd,2,826.0,WD ,297000,2.75,1.75,1.0
35,20,RL,IR1,Inside,NAmes,Norm,1Fam,1Story,6,6,Flat,Wd Sdng,Wd Sdng,BrkFace,82.0,3,CBlock,4,4,1,160.0,2,1142,1142,0.0,1,0,2,5,1,Basment,2,384.0,WD ,113500,51.33333333333326,51.33333333333326,1.0
36,160,RM,Reg,Inside,MeadowV,Norm,TwnhsE,2Story,5,6,Gable,CemntBd,CmentBd,None,0.0,3,PConc,3,1,5,757.0,5,925,1475,0.0,2,0,4,6,1,Attchd,2,336.0,WD ,127000,29.583333333333258,29.583333333333258,1.0
37,20,RL,IR1,Inside,NWAmes,Norm,1Fam,1Story,6,6,Hip,Plywood,Plywood,BrkFace,480.0,3,CBlock,4,1,4,1844.0,5,1844,1844,0.0,2,0,3,7,1,Attchd,2,546.0,COD,190000,33.08333333333326,33.08333333333326,1.0
38,20,RL,Reg,Inside,NWAmes,Norm,1Fam,1Story,7,6,Hip,HdBoard,HdBoard,BrkFace,320.0,3,CBlock,3,1,5,1242.0,2,1242,1242,0.0,1,1,3,6,1,Attchd,1,528.0,WD ,175500,34.75,34.75,0.0
39,20,RL,IR2,Inside,CollgCr,Norm,1Fam,1Story,5,7,Gable,VinylSd,VinylSd,None,0.0,4,PConc,4,1,6,990.0,5,990,990,1.0,1,0,3,5,0,Detchd,1,384.0,WD ,146000,13.583333333333258,13.583333333333258,1.0
40,20,RL,Reg,Inside,Edwards,Norm,1Fam,1Story,5,6,Gable,HdBoard,HdBoard,None,0.0,3,CBlock,3,1,4,1256.0,4,1256,1256,1.0,1,1,3,6,0,Attchd,3,276.0,WD ,147500,43.5,43.5,1.0
41,20,RL,Reg,Inside,NridgHt,Norm,1Fam,1Story,10,5,Gable,VinylSd,VinylSd,0,0.0,3,PConc,5,4,6,2076.0,5,2076,2076,1.0,2,1,2,7,1,Attchd,3,850.0,New,465000,0.75,0.75,1.0
42,85,RL,IR1,Corner,Mitchel,Norm,1Fam,SFoyer,5,6,Gable,Plywood,Plywood,BrkFace,104.0,4,PConc,4,3,6,1097.0,5,1110,1110,1.0,1,0,1,4,1,Attchd,3,602.0,WD ,165500,31.583333333333258,31.583333333333258,1.0
43,50,RM,Reg,Inside,OldTown,Norm,1Fam,1.5Fin,5,5,Gable,MetalSd,MetalSd,BrkFace,335.0,3,BrkTil,3,1,1,1050.0,5,1050,1795,0.0,2,0,4,7,0,Attchd,1,352.0,WD ,131500,54.91666666666674,54.91666666666674,0.0
44,20,RL,Reg,Inside,Sawyer,Norm,1Fam,1Story,5,5,Hip,HdBoard,HdBoard,None,0.0,3,CBlock,3,1,3,1040.0,5,1040,1040,1.0,1,0,3,5,0,Detchd,1,384.0,WD ,129500,43.16666666666674,43.16666666666674,0.0
45,70,RL,IR1,Inside,Crawfor,Norm,1Fam,2Story,8,6,Gable,BrkFace,Stucco,Stone,40.0,3,PConc,3,1,2,608.0,3,983,1873,0.0,1,1,4,9,2,Detchd,3,786.0,WD ,257076,73.5,58.5,1.0
46,50,RL,Reg,Inside,Edwards,Norm,1Fam,1.5Fin,5,5,Gable,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,1,2,984.0,5,984,1604,0.0,2,0,3,6,0,Detchd,1,660.0,WD ,117000,68.58333333333326,49.58333333333326,1.0
47,70,RL,Reg,Inside,Crawfor,Norm,1Fam,2Story,7,6,Gable,Stucco,Wd Shng,None,0.0,2,BrkTil,4,1,1,776.0,3,851,1502,0.0,1,1,3,6,1,Attchd,2,270.0,WD ,149000,77.16666666666674,8.166666666666742,1.0
48,20,RL,Reg,Inside,NAmes,Norm,1Fam,1Story,5,5,Gable,HdBoard,HdBoard,Stone,110.0,3,CBlock,3,1,3,1056.0,3,1063,1063,1.0,1,0,3,6,0,Attchd,2,280.0,WD ,128000,56.16666666666674,56.16666666666674,1.0
49,160,RL,Reg,Inside,NridgHt,Norm,Twnhs,2Story,7,5,Gable,VinylSd,Wd Shng,Stone,106.0,3,PConc,4,1,1,764.0,5,764,1626,0.0,2,1,2,6,0,BuiltIn,2,474.0,WD ,155000,5.8333333333332575,4.8333333333332575,1.0
50,160,FV,Reg,Inside,Somerst,Norm,TwnhsE,2Story,6,5,Gable,MetalSd,MetalSd,BrkFace,513.0,3,PConc,4,1,6,756.0,5,768,1524,0.0,2,1,2,4,0,Detchd,1,440.0,WD ,166000,6.5,6.5,1.0
51,50,RL,Reg,Inside,SWISU,Norm,1Fam,1.5Fin,4,3,Gable,WdShing,Plywood,None,0.0,3,BrkTil,3,1,4,1122.0,3,1328,1981,1.0,2,0,4,7,2,Detchd,1,576.0,WD ,135000,82.0,60.0,1.0
52,60,RL,IR1,Inside,NWAmes,RRAn,1Fam,2Story,7,5,Gable,Plywood,Plywood,BrkFace,184.0,3,CBlock,4,1,4,1392.0,3,1392,2784,1.0,3,1,5,12,2,Attchd,2,564.0,WD ,250000,28.583333333333258,28.583333333333258,1.0
53,160,RM,Reg,Inside,MeadowV,Norm,Twnhs,2Story,4,7,Gable,CemntBd,CmentBd,None,0.0,3,CBlock,3,1,6,546.0,5,546,1092,0.0,1,1,3,5,0,0,0,0.0,WD ,76000,40.25,40.25,1.0
54,20,RL,Reg,Corner,NAmes,Norm,1Fam,1Story,6,6,Hip,Wd Sdng,Wd Sdng,BrkFace,522.0,3,CBlock,3,1,1,216.0,3,1575,1575,0.0,1,1,2,5,1,Attchd,1,400.0,WD ,155000,55.5,55.5,0.0
